id,date,category,description,amount,payment_method,location
468,2025-01-31,Health,Fitness,2655.77,Card,Islamabad
831,2025-01-31,Bills,Internet,3427.46,Online,Lahore
1299,2025-01-31,Entertainment,Games,4102.59,Cash,Islamabad
185,2025-02-01,Food,Coffee,851.84,Online,Karachi
1261,2025-02-01,Travel,Hotel,19286.26,Online,Dubai
789,2025-02-02,Entertainment,Movies,1282.57,Card,Karachi
1195,2025-02-02,Transport,Public Transport,351.81,Cash,Karachi
121,2025-02-03,Entertainment,Streaming,1581.32,Online,Karachi
427,2025-02-03,Bills,Internet,4403.53,Cash,Rawalpindi
842,2025-02-03,Education,Books,6262.22,Online,Lahore
1004,2025-02-03,Bills,Utilities,7571.03,Cash,Karachi
1226,2025-02-03,Shopping,Home Supplies,7744.32,Card,Dubai
368,2025-02-04,Transport,Ride Share,1593.78,Online,Lahore
711,2025-02-04,Entertainment,Games,6670.93,Bank Transfer,Lahore
998,2025-02-04,Education,Education Fees,22445.96,Card,Rawalpindi
1440,2025-02-04,Transport,Fuel,5056.73,Bank Transfer,Dubai
1391,2025-02-05,Health,Pharmacy,3339.74,Cash,Islamabad
55,2025-02-06,Health,Doctor,4233.3,Card,Islamabad
473,2025-02-06,Education,Courses,7072.45,Online,Islamabad
1480,2025-02-06,Travel,Travel Transport,1451.62,Card,Dubai
131,2025-02-07,Travel,Hotel,18386.17,Bank Transfer,Karachi
964,2025-02-07,Health,Pharmacy,2063.93,Card,Rawalpindi
1109,2025-02-07,Entertainment,Games,4039.65,Card,Islamabad
1311,2025-02-07,Entertainment,Games,8973.84,Online,Lahore
321,2025-02-08,Shopping,Online Shopping,17953.53,Cash,Karachi
803,2025-02-08,Travel,Travel Food,2881.62,Bank Transfer,Islamabad
924,2025-02-08,Travel,Travel Food,2602.05,Online,Karachi
955,2025-02-08,Education,Stationery,697.5,Bank Transfer,Rawalpindi
1370,2025-02-08,Entertainment,Events,8934.01,Bank Transfer,Lahore
60,2025-02-09,Travel,Flight,39820.99,Online,Islamabad
1388,2025-02-09,Transport,Parking,1212.62,Cash,Lahore
1497,2025-02-09,Bills,Internet,5983.27,Online,Karachi
44,2025-02-10,Transport,Parking,854.32,Bank Transfer,Islamabad
358,2025-02-10,Transport,Fuel,7187.23,Cash,Rawalpindi
781,2025-02-10,Travel,Travel Transport,3773.95,Online,Lahore
127,2025-02-11,Shopping,Online Shopping,10758.02,Online,Islamabad
299,2025-02-11,Food,Restaurant,1026.21,Bank Transfer,Rawalpindi
1166,2025-02-11,Health,Fitness,4104.02,Cash,Rawalpindi
429,2025-02-12,Travel,Flight,110991.1,Card,Lahore
659,2025-02-12,Food,Coffee,593.86,Card,Islamabad
845,2025-02-12,Education,Stationery,1084.66,Card,Dubai
1199,2025-02-12,Transport,Fuel,6128.57,Cash,Islamabad
314,2025-02-13,Bills,Electricity,9907.64,Online,Islamabad
496,2025-02-13,Travel,Hotel,14759.6,Online,Rawalpindi
144,2025-02-14,Health,Fitness,4235.86,Online,Rawalpindi
234,2025-02-14,Education,Stationery,1600.11,Cash,Rawalpindi
1158,2025-02-14,Travel,Travel Food,8248.84,Cash,Lahore
53,2025-02-15,Food,Fast Food,1586.62,Bank Transfer,Lahore
66,2025-02-15,Education,Books,3590.55,Cash,Islamabad
405,2025-02-15,Education,Stationery,2544.38,Online,Karachi
1453,2025-02-15,Entertainment,Movies,958.96,Bank Transfer,Lahore
112,2025-02-16,Food,Fast Food,1449.8,Cash,Rawalpindi
295,2025-02-16,Education,Books,3828.24,Cash,Islamabad
619,2025-02-16,Shopping,Online Shopping,5599.04,Online,Karachi
74,2025-02-17,Entertainment,Events,7593.45,Card,Rawalpindi
378,2025-02-17,Transport,Public Transport,611.52,Card,Lahore
472,2025-02-17,Travel,Travel Food,4001.28,Cash,Lahore
1197,2025-02-17,Bills,Internet,5538.05,Card,Karachi
348,2025-02-19,Entertainment,Movies,1187.95,Cash,Dubai
1159,2025-02-19,Bills,Phone Bill,3475.09,Card,Dubai
317,2025-02-21,Entertainment,Games,2333.57,Online,Islamabad
641,2025-02-22,Bills,Utilities,7916.24,Bank Transfer,Karachi
856,2025-02-22,Education,Stationery,955.25,Online,Islamabad
238,2025-02-23,Travel,Travel Food,4903.02,Card,Dubai
1282,2025-02-23,Bills,Utilities,5108.38,Online,Lahore
424,2025-02-24,Health,Pharmacy,2527.76,Cash,Rawalpindi
981,2025-02-24,Entertainment,Movies,1734.65,Online,Rawalpindi
528,2025-02-25,Health,Pharmacy,2340.78,Bank Transfer,Dubai
662,2025-02-25,Travel,Hotel,17840.58,Card,Islamabad
1373,2025-02-25,Entertainment,Games,6156.58,Online,Dubai
1030,2025-02-26,Entertainment,Games,7634.84,Bank Transfer,Lahore
1111,2025-02-26,Transport,Public Transport,425.09,Card,Rawalpindi
13,2025-02-27,Entertainment,Movies,1750.69,Online,Islamabad
807,2025-02-27,Health,Dental,14557.43,Online,Rawalpindi
1086,2025-02-27,Education,Stationery,1250.79,Online,Dubai
1090,2025-02-27,Entertainment,Games,3819.4,Bank Transfer,Dubai
1438,2025-02-27,Transport,Public Transport,704.52,Cash,Karachi
1334,2025-02-28,Health,Pharmacy,1550.25,Online,Rawalpindi
1472,2025-02-28,Transport,Public Transport,403.4,Online,Karachi
41,2025-03-01,Food,Fast Food,534.66,Online,Dubai
338,2025-03-01,Travel,Travel Food,5982.75,Online,Islamabad
576,2025-03-01,Food,Coffee,440.58,Cash,Dubai
1046,2025-03-01,Shopping,Home Supplies,4082.11,Cash,Islamabad
1209,2025-03-01,Bills,Utilities,5110.22,Bank Transfer,Islamabad
1390,2025-03-01,Education,Education Fees,30368.35,Cash,Rawalpindi
370,2025-03-03,Travel,Travel Transport,997.77,Online,Karachi
1104,2025-03-03,Entertainment,Streaming,1255.8,Cash,Lahore
34,2025-03-04,Education,Stationery,1901.16,Card,Lahore
792,2025-03-04,Health,Fitness,4852.19,Card,Dubai
1208,2025-03-04,Education,Books,4290.17,Cash,Dubai
1404,2025-03-04,Bills,Electricity,14200.53,Card,Karachi
484,2025-03-05,Education,Courses,6263.38,Bank Transfer,Islamabad
534,2025-03-05,Shopping,Clothing,4056.07,Bank Transfer,Dubai
632,2025-03-05,Bills,Internet,5104.58,Card,Islamabad
950,2025-03-05,Education,Education Fees,18807.22,Card,Islamabad
1424,2025-03-05,Entertainment,Events,13313.69,Bank Transfer,Islamabad
1330,2025-03-07,Education,Courses,8623.48,Bank Transfer,Dubai
115,2025-03-08,Education,Education Fees,11481.09,Card,Lahore
272,2025-03-08,Bills,Phone Bill,3691.45,Cash,Islamabad
582,2025-03-08,Food,Fast Food,2066.58,Online,Dubai
1308,2025-03-08,Shopping,Online Shopping,14759.7,Bank Transfer,Rawalpindi
1420,2025-03-08,Health,Fitness,5474.07,Online,Dubai
14,2025-03-09,Entertainment,Streaming,988.0,Online,Rawalpindi
879,2025-03-09,Shopping,Home Supplies,6783.05,Bank Transfer,Rawalpindi
905,2025-03-09,Health,Doctor,6705.7,Online,Rawalpindi
1060,2025-03-09,Bills,Electricity,15751.52,Card,Dubai
192,2025-03-10,Transport,Ride Share,655.45,Card,Islamabad
411,2025-03-10,Bills,Electricity,16866.96,Card,Karachi
540,2025-03-10,Transport,Parking,765.28,Bank Transfer,Islamabad
1007,2025-03-10,Entertainment,Games,10721.97,Cash,Dubai
1044,2025-03-10,Health,Fitness,3644.36,Bank Transfer,Rawalpindi
1363,2025-03-10,Entertainment,Events,5071.88,Online,Karachi
30,2025-03-11,Food,Fast Food,566.92,Cash,Islamabad
460,2025-03-11,Food,Fast Food,803.01,Card,Rawalpindi
1063,2025-03-11,Transport,Ride Share,1218.63,Cash,Islamabad
1366,2025-03-11,Health,Pharmacy,2973.86,Online,Rawalpindi
43,2025-03-12,Transport,Fuel,5086.03,Cash,Dubai
98,2025-03-12,Health,Pharmacy,4124.14,Online,Karachi
1071,2025-03-13,Travel,Travel Food,3016.55,Online,Karachi
1375,2025-03-13,Entertainment,Movies,1473.83,Cash,Lahore
458,2025-03-14,Food,Fast Food,2009.24,Cash,Rawalpindi
652,2025-03-14,Entertainment,Streaming,1193.85,Online,Rawalpindi
791,2025-03-14,Food,Grocery,6274.66,Card,Rawalpindi
1319,2025-03-15,Health,Pharmacy,2741.21,Bank Transfer,Lahore
1501,2025-03-15,Shopping,Electronics,185000.0,Card,Karachi
219,2025-03-17,Bills,Utilities,5404.01,Card,Islamabad
120,2025-03-18,Shopping,Clothing,7232.35,Online,Islamabad
524,2025-03-18,Transport,Public Transport,421.55,Online,Karachi
1476,2025-03-18,Health,Doctor,4674.41,Card,Rawalpindi
469,2025-03-20,Travel,Travel Transport,3548.78,Card,Rawalpindi
671,2025-03-20,Transport,Ride Share,1776.01,Card,Dubai
1013,2025-03-20,Transport,Fuel,4584.73,Cash,Rawalpindi
517,2025-03-21,Entertainment,Streaming,2274.73,Cash,Karachi
681,2025-03-21,Bills,Utilities,10527.2,Cash,Dubai
1352,2025-03-21,Food,Fast Food,716.46,Bank Transfer,Lahore
213,2025-03-22,Education,Stationery,1759.35,Cash,Islamabad
743,2025-03-22,Education,Stationery,1198.03,Cash,Lahore
897,2025-03-22,Travel,Flight,31936.12,Online,Karachi
761,2025-03-23,Education,Courses,9085.93,Bank Transfer,Islamabad
1402,2025-03-23,Bills,Electricity,10274.2,Bank Transfer,Karachi
227,2025-03-25,Shopping,Home Supplies,3305.14,Online,Lahore
530,2025-03-25,Travel,Hotel,18244.36,Online,Rawalpindi
670,2025-03-25,Bills,Internet,5741.08,Cash,Islamabad
699,2025-03-27,Bills,Utilities,4321.07,Card,Karachi
228,2025-03-28,Bills,Utilities,6680.27,Bank Transfer,Lahore
420,2025-03-28,Shopping,Home Supplies,2225.79,Bank Transfer,Karachi
494,2025-03-28,Bills,Electricity,4718.83,Card,Lahore
935,2025-03-28,Shopping,Electronics,53671.21,Online,Rawalpindi
1091,2025-03-28,Transport,Public Transport,225.32,Cash,Karachi
404,2025-03-29,Transport,Fuel,6276.14,Bank Transfer,Lahore
854,2025-03-29,Education,Courses,7626.4,Online,Karachi
656,2025-03-30,Bills,Utilities,4992.62,Card,Rawalpindi
947,2025-03-30,Shopping,Online Shopping,12963.18,Cash,Karachi
1037,2025-03-30,Shopping,Electronics,25461.73,Bank Transfer,Karachi
388,2025-03-31,Shopping,Online Shopping,9755.3,Online,Karachi
500,2025-03-31,Bills,Utilities,3558.27,Cash,Dubai
651,2025-03-31,Transport,Ride Share,791.14,Bank Transfer,Dubai
832,2025-03-31,Education,Courses,8017.48,Cash,Rawalpindi
863,2025-03-31,Food,Restaurant,1701.02,Cash,Lahore
888,2025-03-31,Health,Fitness,5305.21,Card,Dubai
1035,2025-03-31,Entertainment,Events,8960.5,Online,Rawalpindi
1178,2025-03-31,Shopping,Electronics,7799.55,Card,Karachi
1236,2025-04-01,Shopping,Clothing,8840.44,Bank Transfer,Dubai
550,2025-04-02,Entertainment,Events,4406.04,Online,Rawalpindi
816,2025-04-02,Transport,Parking,662.48,Bank Transfer,Lahore
1161,2025-04-02,Food,Grocery,2956.36,Online,Islamabad
1256,2025-04-02,Education,Books,5379.92,Bank Transfer,Rawalpindi
150,2025-04-03,Education,Books,4884.71,Card,Rawalpindi
959,2025-04-03,Health,Dental,4276.72,Online,Islamabad
1471,2025-04-03,Transport,Ride Share,1529.92,Card,Lahore
490,2025-04-04,Entertainment,Streaming,1181.36,Card,Islamabad
1356,2025-04-04,Food,Coffee,242.88,Card,Islamabad
6,2025-04-05,Education,Books,2904.77,Bank Transfer,Dubai
946,2025-04-05,Food,Grocery,9828.72,Card,Karachi
1099,2025-04-05,Transport,Public Transport,293.66,Online,Rawalpindi
1221,2025-04-05,Food,Coffee,902.51,Online,Lahore
375,2025-04-06,Education,Education Fees,19865.52,Online,Karachi
865,2025-04-06,Bills,Phone Bill,2302.95,Online,Karachi
1444,2025-04-07,Shopping,Online Shopping,10252.25,Online,Islamabad
377,2025-04-08,Food,Grocery,3297.99,Online,Islamabad
749,2025-04-08,Transport,Parking,758.74,Card,Rawalpindi
1141,2025-04-08,Food,Restaurant,1505.96,Cash,Rawalpindi
694,2025-04-09,Shopping,Online Shopping,18558.89,Card,Dubai
1089,2025-04-10,Education,Stationery,2779.16,Online,Islamabad
663,2025-04-11,Entertainment,Events,12384.91,Bank Transfer,Lahore
1095,2025-04-11,Travel,Hotel,28769.82,Cash,Islamabad
173,2025-04-12,Travel,Travel Transport,6428.9,Bank Transfer,Karachi
175,2025-04-12,Health,Dental,3908.84,Bank Transfer,Lahore
1078,2025-04-12,Food,Restaurant,1903.17,Card,Lahore
505,2025-04-13,Entertainment,Games,4004.98,Card,Lahore
974,2025-04-13,Education,Courses,2723.87,Online,Karachi
1351,2025-04-13,Shopping,Home Supplies,2271.24,Online,Lahore
1284,2025-04-14,Health,Pharmacy,2426.39,Bank Transfer,Dubai
417,2025-04-15,Shopping,Home Supplies,3382.03,Online,Karachi
1073,2025-04-15,Shopping,Clothing,6831.94,Cash,Islamabad
113,2025-04-16,Food,Fast Food,1109.3,Online,Islamabad
450,2025-04-16,Health,Dental,14584.59,Cash,Rawalpindi
1354,2025-04-16,Education,Stationery,1165.12,Card,Karachi
603,2025-04-17,Education,Education Fees,33020.66,Online,Lahore
984,2025-04-17,Food,Grocery,2919.18,Card,Rawalpindi
523,2025-04-18,Transport,Public Transport,252.77,Online,Lahore
1463,2025-04-18,Transport,Fuel,5620.76,Bank Transfer,Dubai
895,2025-04-19,Education,Books,1664.64,Online,Lahore
953,2025-04-19,Travel,Travel Food,2530.54,Card,Karachi
372,2025-04-20,Transport,Fuel,4448.14,Bank Transfer,Islamabad
779,2025-04-20,Shopping,Online Shopping,6976.88,Bank Transfer,Rawalpindi
693,2025-04-22,Food,Grocery,5258.53,Online,Lahore
846,2025-04-22,Travel,Travel Transport,5353.1,Card,Lahore
306,2025-04-23,Entertainment,Movies,1231.22,Online,Lahore
987,2025-04-23,Health,Doctor,2491.34,Online,Lahore
1085,2025-04-23,Travel,Travel Transport,3392.87,Cash,Dubai
1400,2025-04-23,Travel,Flight,38938.77,Card,Lahore
1460,2025-04-23,Education,Books,2788.38,Card,Islamabad
247,2025-04-24,Travel,Hotel,26835.16,Cash,Lahore
1302,2025-04-24,Health,Doctor,3633.83,Cash,Islamabad
1,2025-04-25,Food,Fast Food,839.18,Cash,Karachi
20,2025-04-25,Bills,Utilities,3709.6,Card,Islamabad
335,2025-04-25,Food,Grocery,5621.34,Cash,Lahore
883,2025-04-25,Health,Pharmacy,3720.06,Card,Rawalpindi
933,2025-04-25,Shopping,Electronics,41855.23,Bank Transfer,Lahore
1113,2025-04-25,Transport,Public Transport,378.51,Card,Lahore
1422,2025-04-25,Transport,Public Transport,497.47,Cash,Karachi
1028,2025-04-26,Travel,Hotel,13891.18,Card,Islamabad
204,2025-04-27,Health,Fitness,2057.25,Online,Dubai
419,2025-04-27,Health,Dental,13830.11,Cash,Islamabad
1008,2025-04-27,Travel,Flight,75735.92,Cash,Islamabad
95,2025-04-28,Shopping,Home Supplies,2152.77,Card,Islamabad
189,2025-04-28,Entertainment,Events,6202.47,Cash,Rawalpindi
1348,2025-04-28,Shopping,Home Supplies,5371.37,Online,Rawalpindi
471,2025-04-29,Entertainment,Movies,722.09,Card,Lahore
588,2025-04-29,Education,Education Fees,19940.23,Bank Transfer,Rawalpindi
1151,2025-04-29,Travel,Hotel,21464.68,Online,Rawalpindi
1176,2025-04-30,Food,Grocery,6275.09,Online,Rawalpindi
1187,2025-04-30,Travel,Travel Food,4327.82,Online,Karachi
1393,2025-04-30,Transport,Parking,643.89,Card,Dubai
137,2025-05-01,Shopping,Online Shopping,19671.06,Bank Transfer,Dubai
431,2025-05-01,Entertainment,Games,7939.02,Bank Transfer,Dubai
572,2025-05-01,Travel,Hotel,36042.98,Card,Rawalpindi
591,2025-05-01,Bills,Electricity,16339.35,Online,Lahore
891,2025-05-01,Bills,Internet,3444.99,Card,Karachi
1134,2025-05-01,Food,Coffee,775.85,Online,Rawalpindi
1439,2025-05-01,Health,Fitness,6114.18,Online,Lahore
1447,2025-05-01,Shopping,Electronics,5972.96,Online,Islamabad
343,2025-05-02,Shopping,Online Shopping,10905.01,Cash,Karachi
613,2025-05-02,Travel,Hotel,12628.81,Online,Karachi
685,2025-05-02,Entertainment,Events,9837.9,Card,Rawalpindi
965,2025-05-02,Entertainment,Events,12092.33,Cash,Dubai
1135,2025-05-02,Entertainment,Games,3540.79,Bank Transfer,Islamabad
1045,2025-05-03,Health,Pharmacy,4097.55,Cash,Dubai
730,2025-05-04,Travel,Travel Food,5742.63,Card,Lahore
808,2025-05-04,Entertainment,Movies,1473.16,Online,Karachi
971,2025-05-04,Shopping,Home Supplies,6739.79,Cash,Karachi
1360,2025-05-04,Entertainment,Games,2894.04,Bank Transfer,Lahore
313,2025-05-05,Education,Education Fees,33727.15,Cash,Islamabad
176,2025-05-06,Travel,Hotel,27826.07,Card,Karachi
1114,2025-05-06,Health,Dental,13572.23,Online,Lahore
1448,2025-05-06,Food,Grocery,5639.12,Cash,Karachi
622,2025-05-07,Travel,Travel Transport,4280.79,Cash,Rawalpindi
1237,2025-05-07,Transport,Fuel,8652.53,Card,Dubai
1428,2025-05-07,Bills,Utilities,6588.43,Cash,Rawalpindi
239,2025-05-08,Bills,Electricity,15914.35,Bank Transfer,Rawalpindi
443,2025-05-08,Shopping,Online Shopping,9861.8,Online,Lahore
1376,2025-05-09,Transport,Fuel,5938.17,Cash,Lahore
1445,2025-05-09,Transport,Public Transport,193.34,Cash,Rawalpindi
265,2025-05-10,Transport,Fuel,7004.98,Bank Transfer,Islamabad
752,2025-05-10,Shopping,Electronics,9887.07,Bank Transfer,Islamabad
1425,2025-05-10,Entertainment,Movies,1180.34,Online,Islamabad
1491,2025-05-10,Shopping,Home Supplies,4300.01,Cash,Karachi
69,2025-05-11,Entertainment,Events,8123.58,Online,Lahore
902,2025-05-11,Transport,Parking,1028.83,Card,Islamabad
1288,2025-05-11,Bills,Utilities,5783.24,Bank Transfer,Islamabad
1268,2025-05-12,Transport,Fuel,4522.15,Cash,Dubai
208,2025-05-13,Education,Courses,8902.91,Bank Transfer,Karachi
581,2025-05-13,Transport,Parking,722.61,Bank Transfer,Lahore
1192,2025-05-13,Shopping,Electronics,19109.01,Online,Karachi
193,2025-05-14,Food,Fast Food,1403.28,Online,Islamabad
287,2025-05-14,Health,Pharmacy,2009.04,Online,Karachi
838,2025-05-15,Shopping,Clothing,11176.14,Bank Transfer,Dubai
1054,2025-05-15,Food,Coffee,480.7,Bank Transfer,Lahore
1163,2025-05-15,Health,Pharmacy,4017.89,Cash,Rawalpindi
444,2025-05-16,Bills,Internet,5646.89,Bank Transfer,Karachi
449,2025-05-16,Travel,Hotel,16393.55,Card,Karachi
628,2025-05-16,Shopping,Home Supplies,5661.65,Bank Transfer,Dubai
812,2025-05-16,Health,Pharmacy,2498.4,Card,Dubai
1145,2025-05-16,Transport,Public Transport,480.28,Online,Lahore
451,2025-05-17,Shopping,Clothing,8406.79,Card,Dubai
1259,2025-05-17,Food,Coffee,186.35,Card,Lahore
1365,2025-05-17,Health,Doctor,5388.47,Bank Transfer,Rawalpindi
1454,2025-05-18,Entertainment,Streaming,1057.39,Online,Karachi
254,2025-05-19,Transport,Parking,332.29,Cash,Karachi
814,2025-05-19,Travel,Flight,56239.84,Cash,Dubai
763,2025-05-20,Bills,Electricity,13751.19,Online,Islamabad
920,2025-05-20,Transport,Fuel,6193.54,Online,Rawalpindi
992,2025-05-20,Transport,Parking,688.33,Cash,Islamabad
308,2025-05-22,Entertainment,Streaming,2426.47,Online,Dubai
422,2025-05-22,Education,Education Fees,15262.67,Cash,Dubai
1321,2025-05-22,Bills,Electricity,16048.81,Bank Transfer,Islamabad
1326,2025-05-23,Shopping,Home Supplies,8081.44,Card,Rawalpindi
328,2025-05-24,Travel,Travel Food,8065.4,Card,Islamabad
367,2025-05-24,Travel,Flight,94316.3,Card,Dubai
566,2025-05-24,Food,Coffee,1155.18,Bank Transfer,Rawalpindi
962,2025-05-24,Food,Grocery,1469.15,Cash,Rawalpindi
1350,2025-05-24,Travel,Travel Food,6960.25,Cash,Karachi
893,2025-05-25,Bills,Internet,3485.46,Bank Transfer,Dubai
409,2025-05-26,Health,Dental,7276.73,Cash,Dubai
850,2025-05-26,Travel,Travel Transport,1693.5,Card,Lahore
925,2025-05-26,Bills,Utilities,5807.7,Card,Lahore
286,2025-05-28,Health,Dental,11906.89,Bank Transfer,Rawalpindi
1304,2025-05-28,Shopping,Electronics,20838.55,Online,Islamabad
707,2025-05-29,Travel,Travel Transport,1678.23,Bank Transfer,Lahore
835,2025-05-29,Shopping,Home Supplies,1809.07,Card,Lahore
1426,2025-05-29,Bills,Internet,4299.55,Online,Lahore
1436,2025-05-29,Entertainment,Games,7871.53,Cash,Karachi
1062,2025-05-30,Bills,Phone Bill,2268.22,Cash,Dubai
179,2025-06-01,Food,Fast Food,1781.59,Cash,Lahore
187,2025-06-01,Transport,Fuel,4581.23,Bank Transfer,Rawalpindi
820,2025-06-01,Bills,Electricity,9871.99,Card,Islamabad
1020,2025-06-01,Health,Dental,8421.11,Cash,Dubai
116,2025-06-02,Bills,Electricity,23544.18,Card,Dubai
565,2025-06-03,Entertainment,Movies,1751.43,Online,Islamabad
82,2025-06-04,Entertainment,Events,8428.11,Cash,Karachi
574,2025-06-04,Shopping,Electronics,27027.71,Online,Lahore
1014,2025-06-04,Entertainment,Movies,1073.23,Cash,Rawalpindi
1149,2025-06-04,Travel,Hotel,15349.76,Card,Lahore
145,2025-06-05,Travel,Hotel,13460.59,Bank Transfer,Karachi
333,2025-06-06,Travel,Travel Food,4163.23,Online,Dubai
589,2025-06-06,Entertainment,Movies,1081.27,Card,Dubai
666,2025-06-06,Health,Dental,16808.25,Cash,Karachi
386,2025-06-07,Education,Stationery,1032.49,Card,Karachi
402,2025-06-07,Education,Education Fees,11475.97,Online,Dubai
1162,2025-06-07,Transport,Public Transport,376.17,Online,Islamabad
1201,2025-06-07,Health,Dental,13324.49,Card,Lahore
1329,2025-06-07,Health,Fitness,6283.1,Cash,Rawalpindi
147,2025-06-08,Transport,Parking,984.4,Bank Transfer,Islamabad
777,2025-06-08,Health,Pharmacy,1804.22,Online,Karachi
202,2025-06-09,Shopping,Clothing,10005.71,Bank Transfer,Rawalpindi
1484,2025-06-09,Bills,Internet,4222.01,Bank Transfer,Islamabad
609,2025-06-10,Travel,Travel Transport,5700.29,Card,Rawalpindi
657,2025-06-10,Entertainment,Games,7302.89,Bank Transfer,Lahore
1200,2025-06-10,Bills,Utilities,7653.13,Online,Karachi
1313,2025-06-10,Health,Dental,9476.08,Cash,Karachi
